id,question,answer,follow-up,relation,generated_follow_up
3360,ELI5: Can other natural omnivores survive on a plant-only diet and have a normal lifespan like humans can?,"Humans can't do it normally without supplements. So the answer is likely no they can't  we need fatty proteins, certain vitamins, omegas, or a supplement to provide them.","Wait, do all healthy vegans really have to use supplements, as in the pills?",Related,What are some examples of essential vitamins and minerals found in plant-based diets?
3360,ELI5: Can other natural omnivores survive on a plant-only diet and have a normal lifespan like humans can?,"Humans can't do it normally without supplements. So the answer is likely no they can't  we need fatty proteins, certain vitamins, omegas, or a supplement to provide them.","Wait, do all healthy vegans really have to use supplements, as in the pills?",Related,How do amino acids like taurine and glucuronolactone support muscle function?
3360,ELI5: Can other natural omnivores survive on a plant-only diet and have a normal lifespan like humans can?,"Humans can't do it normally without supplements. So the answer is likely no they can't  we need fatty proteins, certain vitamins, omegas, or a supplement to provide them.","Wait, do all healthy vegans really have to use supplements, as in the pills?",Related,In what ways do plants support immune function?
3360,ELI5: Can other natural omnivores survive on a plant-only diet and have a normal lifespan like humans can?,"Humans can't do it normally without supplements. So the answer is likely no they can't  we need fatty proteins, certain vitamins, omegas, or a supplement to provide them.","Wait, do all healthy vegans really have to use supplements, as in the pills?",Related,Why is the gut microbiome important for maintaining overall health?
3360,ELI5: Can other natural omnivores survive on a plant-only diet and have a normal lifespan like humans can?,"Humans can't do it normally without supplements. So the answer is likely no they can't  we need fatty proteins, certain vitamins, omegas, or a supplement to provide them.","Wait, do all healthy vegans really have to use supplements, as in the pills?",Related,Can you explain the role of enzymes in the process of nutrient absorption in omnivores?
3360,ELI5: Can other natural omnivores survive on a plant-only diet and have a normal lifespan like humans can?,"Humans can't do it normally without supplements. So the answer is likely no they can't  we need fatty proteins, certain vitamins, omegas, or a supplement to provide them.","Wait, do all healthy vegans really have to use supplements, as in the pills?",Related,How does a plant-only diet support gut health and muscle function?
3361,ELI5: Is fungi in the air everywhere? How does mold just on appear out of nowhere on something that sits in your house if there's moisture? How does mold and fungi work?,"Mold spores are ubiquitous - they are pretty much everywhere.  Normal indoor spore count ranges from 500 to 5,000 spores per cubic meter, and outdoor spore counts can be as much as 50,000 spores per cubic meter in summer and fall in many areas.  Moldy buildings can have much higher spore counts, sometimes as high as 500,000 spores per cubic meter.  Since they're nearly everywhere, all it takes is the right environment for spores to sprout and become mold - just some water and organic material (like paper or wood or drywall).",Drywall is considered organic? Aren't they composed of white inorganic powder?,Related,What are mycotoxins and how do they help mold survive?
3361,ELI5: Is fungi in the air everywhere? How does mold just on appear out of nowhere on something that sits in your house if there's moisture? How does mold and fungi work?,"Mold spores are ubiquitous - they are pretty much everywhere.  Normal indoor spore count ranges from 500 to 5,000 spores per cubic meter, and outdoor spore counts can be as much as 50,000 spores per cubic meter in summer and fall in many areas.  Moldy buildings can have much higher spore counts, sometimes as high as 500,000 spores per cubic meter.  Since they're nearly everywhere, all it takes is the right environment for spores to sprout and become mold - just some water and organic material (like paper or wood or drywall).",Drywall is considered organic? Aren't they composed of white inorganic powder?,Related,How do fungi contribute to the maintenance of moisture levels in a home?
3361,ELI5: Is fungi in the air everywhere? How does mold just on appear out of nowhere on something that sits in your house if there's moisture? How does mold and fungi work?,"Mold spores are ubiquitous - they are pretty much everywhere.  Normal indoor spore count ranges from 500 to 5,000 spores per cubic meter, and outdoor spore counts can be as much as 50,000 spores per cubic meter in summer and fall in many areas.  Moldy buildings can have much higher spore counts, sometimes as high as 500,000 spores per cubic meter.  Since they're nearly everywhere, all it takes is the right environment for spores to sprout and become mold - just some water and organic material (like paper or wood or drywall).",Drywall is considered organic? Aren't they composed of white inorganic powder?,Related,Can mold spores survive exposure to water for extended periods?
3361,ELI5: Is fungi in the air everywhere? How does mold just on appear out of nowhere on something that sits in your house if there's moisture? How does mold and fungi work?,"Mold spores are ubiquitous - they are pretty much everywhere.  Normal indoor spore count ranges from 500 to 5,000 spores per cubic meter, and outdoor spore counts can be as much as 50,000 spores per cubic meter in summer and fall in many areas.  Moldy buildings can have much higher spore counts, sometimes as high as 500,000 spores per cubic meter.  Since they're nearly everywhere, all it takes is the right environment for spores to sprout and become mold - just some water and organic material (like paper or wood or drywall).",Drywall is considered organic? Aren't they composed of white inorganic powder?,Related,"So it's not so much that they're everywhere, it's more like they're in the air?"
3362,ELI5: Is fungi in the air everywhere? How does mold just on appear out of nowhere on something that sits in your house if there's moisture? How does mold and fungi work?,"There are bilions upon bilions of spores in the air everywhere. If the conditions are just right the spores germinate and form mycelium which is the 'nervous and digestive system' of of fungus. After the mycelium mat is firmly established, gets enough nutrients, is mature and the conditions are right the fruiting starts and mycelium produces fruit bodies known to us as mushrooms. The mushrooms produce spores in the gills (for the gilled ones of course) which fall from them in the hundreds of thousands per mushroom (it starts as soon as the mushroom cap opens), then are taken away by the wind and the whole cycle continues. This is a very basic explanation and I have omitted a few things for simplicity. Hope that helps a bit. Check out ""Fantastic Fungi' on netflix or YT.",How come our moist nasal passages don't get infected with fungi? Or do they?,Related,What are mycotoxins and how do they help fungi survive in low humidity conditions?
3362,ELI5: Is fungi in the air everywhere? How does mold just on appear out of nowhere on something that sits in your house if there's moisture? How does mold and fungi work?,"There are bilions upon bilions of spores in the air everywhere. If the conditions are just right the spores germinate and form mycelium which is the 'nervous and digestive system' of of fungus. After the mycelium mat is firmly established, gets enough nutrients, is mature and the conditions are right the fruiting starts and mycelium produces fruit bodies known to us as mushrooms. The mushrooms produce spores in the gills (for the gilled ones of course) which fall from them in the hundreds of thousands per mushroom (it starts as soon as the mushroom cap opens), then are taken away by the wind and the whole cycle continues. This is a very basic explanation and I have omitted a few things for simplicity. Hope that helps a bit. Check out ""Fantastic Fungi' on netflix or YT.",How come our moist nasal passages don't get infected with fungi? Or do they?,Related,How do fungi contribute to the decomposition of organic matter?
3362,ELI5: Is fungi in the air everywhere? How does mold just on appear out of nowhere on something that sits in your house if there's moisture? How does mold and fungi work?,"There are bilions upon bilions of spores in the air everywhere. If the conditions are just right the spores germinate and form mycelium which is the 'nervous and digestive system' of of fungus. After the mycelium mat is firmly established, gets enough nutrients, is mature and the conditions are right the fruiting starts and mycelium produces fruit bodies known to us as mushrooms. The mushrooms produce spores in the gills (for the gilled ones of course) which fall from them in the hundreds of thousands per mushroom (it starts as soon as the mushroom cap opens), then are taken away by the wind and the whole cycle continues. This is a very basic explanation and I have omitted a few things for simplicity. Hope that helps a bit. Check out ""Fantastic Fungi' on netflix or YT.",How come our moist nasal passages don't get infected with fungi? Or do they?,Related,So it's just a matter of luck?
