id,question,answer,follow-up,relation,generated_follow_up
3110,ELI5: Why no trucks in the left lane?,"Trucks= 18 wheelers, semis, tractor trailers. Left lane is for passing only even though this really isn't followed. It's mostly a safety issue that they shouldnt be passing other vehicles when they can haul around 40,000 lbs maybe even more, not sure on what the heaviest would be. They're slower, take longer to stop and considerably more dangerous than a typical vehicle",does them being on the left side have any indication as to the integrity of those roadways or just a a general rule of thumb that left is for passing ?,Strongly Related,What are the potential consequences for trucks if they were to pass in the left lane?
3110,ELI5: Why no trucks in the left lane?,"Trucks= 18 wheelers, semis, tractor trailers. Left lane is for passing only even though this really isn't followed. It's mostly a safety issue that they shouldnt be passing other vehicles when they can haul around 40,000 lbs maybe even more, not sure on what the heaviest would be. They're slower, take longer to stop and considerably more dangerous than a typical vehicle",does them being on the left side have any indication as to the integrity of those roadways or just a a general rule of thumb that left is for passing ?,Strongly Related,Why is it important for trucks to maintain their lane width?
3110,ELI5: Why no trucks in the left lane?,"Trucks= 18 wheelers, semis, tractor trailers. Left lane is for passing only even though this really isn't followed. It's mostly a safety issue that they shouldnt be passing other vehicles when they can haul around 40,000 lbs maybe even more, not sure on what the heaviest would be. They're slower, take longer to stop and considerably more dangerous than a typical vehicle",does them being on the left side have any indication as to the integrity of those roadways or just a a general rule of thumb that left is for passing ?,Strongly Related,How does the left lane affect emergency vehicles?
3110,ELI5: Why no trucks in the left lane?,"Trucks= 18 wheelers, semis, tractor trailers. Left lane is for passing only even though this really isn't followed. It's mostly a safety issue that they shouldnt be passing other vehicles when they can haul around 40,000 lbs maybe even more, not sure on what the heaviest would be. They're slower, take longer to stop and considerably more dangerous than a typical vehicle",does them being on the left side have any indication as to the integrity of those roadways or just a a general rule of thumb that left is for passing ?,Strongly Related,How do trucks handle heavier loads differently than smaller ones?
3110,ELI5: Why no trucks in the left lane?,"Trucks= 18 wheelers, semis, tractor trailers. Left lane is for passing only even though this really isn't followed. It's mostly a safety issue that they shouldnt be passing other vehicles when they can haul around 40,000 lbs maybe even more, not sure on what the heaviest would be. They're slower, take longer to stop and considerably more dangerous than a typical vehicle",does them being on the left side have any indication as to the integrity of those roadways or just a a general rule of thumb that left is for passing ?,Strongly Related,"Can you explain what is meant by ""heightened acceleration"""
3111,ELI5: Fell in the Demon Core hole. Why would the two beryllium sphere make the core safe when an inch apart? Wouldn't plutonium constantly be emitting radiation regardless?,">Wouldn't plutonium constantly be emitting radiation regardless?  Yes, but most of that goes away from the plutonium core. Adding the beryllium reflects the neutrons back towards it, and that's what pushes the arrangement into supercriticality. The gap in the sphere is enough to let enough neutrons escape that the reaction isn't self-sustaining.",So in comparison the Cesium-137 from the Brazil accident was always in supercriticality?,Slightly Related,What is the significance of the two beryllium spheres in the protection of the plutonium core?
3111,ELI5: Fell in the Demon Core hole. Why would the two beryllium sphere make the core safe when an inch apart? Wouldn't plutonium constantly be emitting radiation regardless?,">Wouldn't plutonium constantly be emitting radiation regardless?  Yes, but most of that goes away from the plutonium core. Adding the beryllium reflects the neutrons back towards it, and that's what pushes the arrangement into supercriticality. The gap in the sphere is enough to let enough neutrons escape that the reaction isn't self-sustaining.",So in comparison the Cesium-137 from the Brazil accident was always in supercriticality?,Slightly Related,Why are beryllium spheres important for the stability of a nuclear reactor?
3111,ELI5: Fell in the Demon Core hole. Why would the two beryllium sphere make the core safe when an inch apart? Wouldn't plutonium constantly be emitting radiation regardless?,">Wouldn't plutonium constantly be emitting radiation regardless?  Yes, but most of that goes away from the plutonium core. Adding the beryllium reflects the neutrons back towards it, and that's what pushes the arrangement into supercriticality. The gap in the sphere is enough to let enough neutrons escape that the reaction isn't self-sustaining.",So in comparison the Cesium-137 from the Brazil accident was always in supercriticality?,Slightly Related,In what ways does the arrangement of the core prevent the release of radioactive materials?
3112,ELI5: Fell in the Demon Core hole. Why would the two beryllium sphere make the core safe when an inch apart? Wouldn't plutonium constantly be emitting radiation regardless?,"It is constantly radiating, yes. But the two spheres act like mirrors that focus it back into the core, exciting more fission.  Keeping the spheres separated with a screwdriver just a little bit allows a small amount of that radiation to leak out instead of getting reflected back in. Just enough to keep the core *juuuuuust* below its ""you fucked up"" point.  You could probably think of the demon core like a big steam boiler building up lots of pressure, and the screwdriver holding the hemispheres apart like holding a bleed valve open slightly. You're trying to keep that thing at a very specific pressure close to the boiler's breaking point, because you're trying to measure how the boiler behaves when it's really close to failure. But if you slip and lose grip on the bleed valve, pressure will build up almost instantly and the boiler will explode, killing you.  The demon core wouldn't actually explode like the nuclear bombs you think of, though. It would mostly just flash very hot very briefly. But in that instant it will have poisoned you with enough radiation to have you dead within two weeks of the incident. Three people have already died this way.",So in comparison. The Cesium-137 from  the Brazil is simply that much more radioactive than a plutonium core?,Related,What is the significance of the two beryllium sphere assemblies in the protection of the demon core?
3112,ELI5: Fell in the Demon Core hole. Why would the two beryllium sphere make the core safe when an inch apart? Wouldn't plutonium constantly be emitting radiation regardless?,"It is constantly radiating, yes. But the two spheres act like mirrors that focus it back into the core, exciting more fission.  Keeping the spheres separated with a screwdriver just a little bit allows a small amount of that radiation to leak out instead of getting reflected back in. Just enough to keep the core *juuuuuust* below its ""you fucked up"" point.  You could probably think of the demon core like a big steam boiler building up lots of pressure, and the screwdriver holding the hemispheres apart like holding a bleed valve open slightly. You're trying to keep that thing at a very specific pressure close to the boiler's breaking point, because you're trying to measure how the boiler behaves when it's really close to failure. But if you slip and lose grip on the bleed valve, pressure will build up almost instantly and the boiler will explode, killing you.  The demon core wouldn't actually explode like the nuclear bombs you think of, though. It would mostly just flash very hot very briefly. But in that instant it will have poisoned you with enough radiation to have you dead within two weeks of the incident. Three people have already died this way.",So in comparison. The Cesium-137 from  the Brazil is simply that much more radioactive than a plutonium core?,Related,Why are beryllium spheres effective in focusing radiation back into the core?
