id,question,answer,follow-up,relation,generated_follow_up
3480,eli5: Why do cockroaches exist?,"There’s not a reason that any animal exists. There were available resources in an environment, so animals that could exploit those resources were successful. They evolved to fit that niche and became cockroaches. They aren’t for anything but bring cockroaches.  There are many, many species of cockroach, and they have differences. Termites are in the same family as cockroaches, so they’re roaches even though no one calls them that or thinks of them that way.",I guess a better question is what do they do for the environment?,Related,"I think I phrased my question poorly. I meant, why do they exist?"
3480,eli5: Why do cockroaches exist?,"There’s not a reason that any animal exists. There were available resources in an environment, so animals that could exploit those resources were successful. They evolved to fit that niche and became cockroaches. They aren’t for anything but bring cockroaches.  There are many, many species of cockroach, and they have differences. Termites are in the same family as cockroaches, so they’re roaches even though no one calls them that or thinks of them that way.",I guess a better question is what do they do for the environment?,Related,">There are many, many species of cockroach, and they have differences.  Termites are in the same family as cockroaches, so they’re roaches even though no one calls them that or thinks them that way.    >There’s not a reason that any animal exists. There were available resources in an environment, so animals that could exploit those resources were successful.  >Why do we have cockroach?   Because they are useful.  They are useful for many things.  But they are also useful for nothing.  For example, they are great at sucking blood from dead animals.  And they are very tasty.  So why do we need cockroache?  Because we have a reason for having them."
3480,eli5: Why do cockroaches exist?,"There’s not a reason that any animal exists. There were available resources in an environment, so animals that could exploit those resources were successful. They evolved to fit that niche and became cockroaches. They aren’t for anything but bring cockroaches.  There are many, many species of cockroach, and they have differences. Termites are in the same family as cockroaches, so they’re roaches even though no one calls them that or thinks of them that way.",I guess a better question is what do they do for the environment?,Related,So why do they have a niche?
3480,eli5: Why do cockroaches exist?,"There’s not a reason that any animal exists. There were available resources in an environment, so animals that could exploit those resources were successful. They evolved to fit that niche and became cockroaches. They aren’t for anything but bring cockroaches.  There are many, many species of cockroach, and they have differences. Termites are in the same family as cockroaches, so they’re roaches even though no one calls them that or thinks of them that way.",I guess a better question is what do they do for the environment?,Related,So technically they are termites?
3480,eli5: Why do cockroaches exist?,"There’s not a reason that any animal exists. There were available resources in an environment, so animals that could exploit those resources were successful. They evolved to fit that niche and became cockroaches. They aren’t for anything but bring cockroaches.  There are many, many species of cockroach, and they have differences. Termites are in the same family as cockroaches, so they’re roaches even though no one calls them that or thinks of them that way.",I guess a better question is what do they do for the environment?,Related,"Is there a reason that any animal exists, other than to eat?"
3480,eli5: Why do cockroaches exist?,"There’s not a reason that any animal exists. There were available resources in an environment, so animals that could exploit those resources were successful. They evolved to fit that niche and became cockroaches. They aren’t for anything but bring cockroaches.  There are many, many species of cockroach, and they have differences. Termites are in the same family as cockroaches, so they’re roaches even though no one calls them that or thinks of them that way.",I guess a better question is what do they do for the environment?,Related,Thanks for the answer!   But why do they have to be so big?
3481,"Eli5: How do doctors earn in europe/canada, where you dont have to pay a single penny for your medical treatments?","They get payed by the government, which is founded by taxes.  So there is no such thing as free Healthcare, you pay for it, just that you do it with taxes, whatever you actually use it or not.  That way is easier to rack up prices and promote corruption.",Lmao easier to rack up prices and promote corruption? Compare US with Canada and show me the proof because that’s ridiculous,Slightly Related,">They get payed by the government, which is founded by taxes.  So there is no such thing as free healthcare, you pay for it, just that you do it with taxes    I guess that's the rub, isn't it?  I mean, if you're paying for doctors to do your own medical work, why would you want them to charge you for it?"
3481,"Eli5: How do doctors earn in europe/canada, where you dont have to pay a single penny for your medical treatments?","They get payed by the government, which is founded by taxes.  So there is no such thing as free Healthcare, you pay for it, just that you do it with taxes, whatever you actually use it or not.  That way is easier to rack up prices and promote corruption.",Lmao easier to rack up prices and promote corruption? Compare US with Canada and show me the proof because that’s ridiculous,Slightly Related,How do doctors make a living?
3481,"Eli5: How do doctors earn in europe/canada, where you dont have to pay a single penny for your medical treatments?","They get payed by the government, which is founded by taxes.  So there is no such thing as free Healthcare, you pay for it, just that you do it with taxes, whatever you actually use it or not.  That way is easier to rack up prices and promote corruption.",Lmao easier to rack up prices and promote corruption? Compare US with Canada and show me the proof because that’s ridiculous,Slightly Related,That makes sense. But what about doctors who are not in the medical field but are still performing surgery?
3481,"Eli5: How do doctors earn in europe/canada, where you dont have to pay a single penny for your medical treatments?","They get payed by the government, which is founded by taxes.  So there is no such thing as free Healthcare, you pay for it, just that you do it with taxes, whatever you actually use it or not.  That way is easier to rack up prices and promote corruption.",Lmao easier to rack up prices and promote corruption? Compare US with Canada and show me the proof because that’s ridiculous,Slightly Related,What about private insurance?
